policy,episode,candidate,mode,episode_reward,completed_tasks,total_tasks,completion_rate,completed_priority,total_priority,priority_completion_rate,collision_count,timeout_count,total_battery,steps
random,1,1,single,-7032.46,5,12,0.4167,7.6,18.8,0.4043,57,7,0.0,420
greedy,1,1,single,-2525.354,12,12,1.0,18.8,18.8,1.0,190,0,53.0,171
greedy_shield,1,1,single,-1355.014,12,12,1.0,18.8,18.8,1.0,116,0,80.6,171
ippo_greedy_shield,1,1,greedy,-1287.72,3,12,0.25,3.8,18.8,0.2021,64,4,0.0,420
ippo_sample_shield,1,6,sample,432.556,11,12,0.9167,16.6,18.8,0.883,34,1,284.2,420
random,2,1,single,-8463.084,5,12,0.4167,7.4,18.8,0.3936,45,6,0.0,420
greedy,2,1,single,-11342.33,11,12,0.9167,17.4,18.8,0.9255,241,1,0.0,420
greedy_shield,2,1,single,-2022.01,12,12,1.0,18.8,18.8,1.0,191,0,65.0,164
ippo_greedy_shield,2,1,greedy,-839.252,3,12,0.25,3.8,18.8,0.2021,0,4,0.8,420
ippo_sample_shield,2,2,sample,643.884,12,12,1.0,18.8,18.8,1.0,60,0,394.0,182
random,3,1,single,-6529.302,9,12,0.75,13.8,18.8,0.734,41,4,0.0,420
greedy,3,1,single,-1456.886,12,12,1.0,18.8,18.8,1.0,190,0,144.0,156
greedy_shield,3,1,single,-7834.186,7,12,0.5833,9.6,18.8,0.5106,140,1,120.0,420
ippo_greedy_shield,3,1,greedy,-1253.808,3,12,0.25,3.8,18.8,0.2021,38,4,0.0,420
ippo_sample_shield,3,5,sample,-1240.846,12,12,1.0,18.8,18.8,1.0,48,1,201.0,315
random,4,1,single,-6550.2,6,12,0.5,8.6,18.8,0.4574,44,11,0.0,420
greedy,4,1,single,-2492.254,12,12,1.0,18.8,18.8,1.0,190,0,53.0,171
greedy_shield,4,1,single,-10826.58,9,12,0.75,13.0,18.8,0.6915,180,0,0.0,420
ippo_greedy_shield,4,1,greedy,-1184.534,2,12,0.1667,2.8,18.8,0.1489,36,4,0.0,420
ippo_sample_shield,4,2,sample,1008.82,12,12,1.0,18.8,18.8,1.0,22,0,296.6,191
random,5,1,single,-9101.904,4,12,0.3333,5.6,18.8,0.2979,51,7,0.0,420
greedy,5,1,single,-11272.782,11,12,0.9167,17.4,18.8,0.9255,238,1,0.0,420
greedy_shield,5,1,single,-1952.262,12,12,1.0,18.8,18.8,1.0,188,0,65.0,164
ippo_greedy_shield,5,1,greedy,-832.092,3,12,0.25,3.8,18.8,0.2021,0,4,0.8,420
ippo_sample_shield,5,5,sample,828.666,12,12,1.0,18.8,18.8,1.0,42,0,233.4,169
random,6,1,single,-7180.786,6,12,0.5,8.6,18.8,0.4574,38,7,0.0,420
greedy,6,1,single,-11209.3,11,12,0.9167,17.4,18.8,0.9255,256,1,0.0,420
greedy_shield,6,1,single,-10790.09,11,12,0.9167,17.4,18.8,0.9255,242,1,0.0,420
ippo_greedy_shield,6,1,greedy,-1387.39,2,12,0.1667,2.8,18.8,0.1489,70,4,0.0,420
ippo_sample_shield,6,5,sample,1057.636,12,12,1.0,18.8,18.8,1.0,14,0,301.6,170
random,7,1,single,-5661.208,10,12,0.8333,15.2,18.8,0.8085,53,5,0.0,420
greedy,7,1,single,-11167.254,11,12,0.9167,17.4,18.8,0.9255,253,1,0.0,420
greedy_shield,7,1,single,-10786.464,11,12,0.9167,17.4,18.8,0.9255,243,1,0.0,420
ippo_greedy_shield,7,1,greedy,-1318.934,2,12,0.1667,2.8,18.8,0.1489,36,4,0.0,420
ippo_sample_shield,7,7,sample,912.634,12,12,1.0,18.8,18.8,1.0,34,0,316.4,167
random,8,1,single,-8582.098,4,12,0.3333,5.0,18.8,0.266,84,7,0.0,420
greedy,8,1,single,-11301.538,11,12,0.9167,17.4,18.8,0.9255,241,1,0.0,420
greedy_shield,8,1,single,-1980.818,12,12,1.0,18.8,18.8,1.0,191,0,65.0,164
ippo_greedy_shield,8,1,greedy,-1179.89,2,12,0.1667,2.8,18.8,0.1489,46,4,0.0,420
ippo_sample_shield,8,6,sample,816.726,12,12,1.0,18.8,18.8,1.0,44,0,353.6,192
random,9,1,single,-8381.34,5,12,0.4167,6.0,18.8,0.3191,62,5,0.0,420
greedy,9,1,single,-5278.07,12,12,1.0,18.8,18.8,1.0,437,1,35.0,188
greedy_shield,9,1,single,-11909.29,7,12,0.5833,10.4,18.8,0.5532,291,1,0.0,420
ippo_greedy_shield,9,1,greedy,-1235.57,2,12,0.1667,2.8,18.8,0.1489,38,4,0.0,420
ippo_sample_shield,9,8,sample,759.722,12,12,1.0,18.8,18.8,1.0,52,0,286.6,195
random,10,1,single,-8443.62,3,12,0.25,4.0,18.8,0.2128,62,6,0.0,420
greedy,10,1,single,-1343.822,12,12,1.0,18.8,18.8,1.0,232,0,255.0,154
greedy_shield,10,1,single,-527.232,12,12,1.0,18.8,18.8,1.0,130,0,255.0,154
ippo_greedy_shield,10,1,greedy,-833.882,3,12,0.25,3.8,18.8,0.2021,0,4,0.8,420
ippo_sample_shield,10,2,sample,719.198,12,12,1.0,18.8,18.8,1.0,46,0,266.4,177
random,11,1,single,-7127.478,7,12,0.5833,9.8,18.8,0.5213,34,5,0.0,420
greedy,11,1,single,-12315.652,8,12,0.6667,11.8,18.8,0.6277,196,1,0.0,420
greedy_shield,11,1,single,-11086.732,7,12,0.5833,10.2,18.8,0.5426,180,2,0.0,420
ippo_greedy_shield,11,1,greedy,-2612.3,0,12,0.0,0.0,18.8,0.0,78,4,0.0,420
ippo_sample_shield,11,2,sample,462.876,12,12,1.0,18.8,18.8,1.0,40,0,242.8,222
random,12,1,single,-7410.792,6,12,0.5,9.2,18.8,0.4894,52,6,0.0,420
greedy,12,1,single,-11268.318,11,12,0.9167,17.4,18.8,0.9255,238,1,0.0,420
greedy_shield,12,1,single,-1947.998,12,12,1.0,18.8,18.8,1.0,188,0,65.0,164
ippo_greedy_shield,12,1,greedy,-1760.868,1,12,0.0833,1.6,18.8,0.0851,74,4,0.0,420
ippo_sample_shield,12,4,sample,748.928,12,12,1.0,18.8,18.8,1.0,34,0,225.0,185
random,13,1,single,-6751.066,7,12,0.5833,10.8,18.8,0.5745,58,6,0.0,420
greedy,13,1,single,-1906.198,12,12,1.0,18.8,18.8,1.0,295,0,255.0,154
greedy_shield,13,1,single,-1449.838,12,12,1.0,18.8,18.8,1.0,295,0,255.0,154
ippo_greedy_shield,13,1,greedy,-831.812,3,12,0.25,3.8,18.8,0.2021,0,4,0.8,420
ippo_sample_shield,13,6,sample,711.516,12,12,1.0,18.8,18.8,1.0,56,0,348.8,197
random,14,1,single,-8788.288,5,12,0.4167,8.6,18.8,0.4574,49,7,0.0,420
greedy,14,1,single,-17135.21,7,12,0.5833,9.6,18.8,0.5106,1468,2,240.0,420
greedy_shield,14,1,single,-6504.56,7,12,0.5833,9.6,18.8,0.5106,140,2,240.0,420
ippo_greedy_shield,14,1,greedy,-1191.692,2,12,0.1667,2.8,18.8,0.1489,56,4,24.4,420
ippo_sample_shield,14,1,sample,454.952,12,12,1.0,18.8,18.8,1.0,40,0,219.0,226
random,15,1,single,-6515.848,7,12,0.5833,12.0,18.8,0.6383,72,7,0.0,420
greedy,15,1,single,-3478.54,12,12,1.0,18.8,18.8,1.0,316,0,53.0,171
greedy_shield,15,1,single,-2708.23,12,12,1.0,18.8,18.8,1.0,292,0,53.0,171
ippo_greedy_shield,15,1,greedy,-839.092,3,12,0.25,3.8,18.8,0.2021,0,4,0.8,420
ippo_sample_shield,15,8,sample,-577.976,11,12,0.9167,17.4,18.8,0.9255,76,1,171.8,420
random,16,1,single,-8010.74,6,12,0.5,8.6,18.8,0.4574,66,10,0.0,420
greedy,16,1,single,-1490.498,12,12,1.0,18.8,18.8,1.0,250,0,206.0,156
greedy_shield,16,1,single,-1161.462,12,12,1.0,18.8,18.8,1.0,176,0,115.2,175
ippo_greedy_shield,16,1,greedy,-1649.56,0,12,0.0,0.0,18.8,0.0,60,4,0.0,420
ippo_sample_shield,16,5,sample,156.208,12,12,1.0,18.8,18.8,1.0,52,0,179.0,204
random,17,1,single,-8928.28,2,12,0.1667,3.6,18.8,0.1915,54,5,0.0,420
greedy,17,1,single,-1419.832,12,12,1.0,18.8,18.8,1.0,242,0,255.0,154
greedy_shield,17,1,single,-619.242,12,12,1.0,18.8,18.8,1.0,142,0,255.0,154
ippo_greedy_shield,17,1,greedy,-831.852,3,12,0.25,3.8,18.8,0.2021,0,4,0.8,420
ippo_sample_shield,17,7,sample,-172.012,11,12,0.9167,17.4,18.8,0.9255,60,1,240.0,420
random,18,1,single,-6728.732,5,12,0.4167,8.2,18.8,0.4362,42,6,0.0,420
greedy,18,1,single,-11665.204,11,12,0.9167,16.8,18.8,0.8936,801,1,240.0,420
greedy_shield,18,1,single,-6205.714,11,12,0.9167,16.8,18.8,0.8936,119,1,240.0,420
ippo_greedy_shield,18,1,greedy,-1342.428,2,12,0.1667,2.8,18.8,0.1489,38,4,0.0,420
ippo_sample_shield,18,1,sample,843.176,12,12,1.0,18.8,18.8,1.0,36,0,190.0,177
random,19,1,single,-7896.196,5,12,0.4167,6.8,18.8,0.3617,58,6,0.0,420
greedy,19,1,single,-11808.576,9,12,0.75,13.0,18.8,0.6915,184,1,0.0,420
greedy_shield,19,1,single,-1986.974,12,12,1.0,18.8,18.8,1.0,193,0,65.0,164
ippo_greedy_shield,19,1,greedy,-1075.08,3,12,0.25,3.8,18.8,0.2021,28,4,19.2,420
ippo_sample_shield,19,3,sample,1030.362,12,12,1.0,18.8,18.8,1.0,18,0,309.4,173
random,20,1,single,-8340.698,4,12,0.3333,6.0,18.8,0.3191,36,5,0.0,420
greedy,20,1,single,-11347.062,11,12,0.9167,17.4,18.8,0.9255,243,1,0.0,420
greedy_shield,20,1,single,-2026.342,12,12,1.0,18.8,18.8,1.0,193,0,65.0,164
ippo_greedy_shield,20,1,greedy,-1559.002,1,12,0.0833,1.6,18.8,0.0851,82,4,0.0,420
ippo_sample_shield,20,2,sample,1106.47,12,12,1.0,18.8,18.8,1.0,10,0,247.2,170
