episode,stage,episode_reward,completed_tasks,total_tasks,completion_rate,completed_priority,total_priority,priority_completion_rate,collision_count,timeout_count,total_battery,steps,policy_loss,value_loss,entropy
1,static_routing,-772.77,1,12,0.0833,1.6,18.8,0.0851,20,5,35.6,260,-0.003644,594.915894,1.543998
2,static_routing,-732.2,0,12,0.0,0.0,18.8,0.0,14,4,196.0,260,-0.001856,453.025726,1.541972
3,static_routing,-1058.42,1,12,0.0833,1.2,18.8,0.0638,16,6,-9.0,260,-0.000235,916.600098,1.551731
4,static_routing,-1618.37,1,12,0.0833,1.2,18.8,0.0638,36,5,-10.0,260,-3.6e-05,1606.988037,1.544392
5,static_routing,-1149.4,1,12,0.0833,1.6,18.8,0.0851,32,5,8.4,260,-0.000919,1129.299561,1.540861
6,static_routing,-1015.3,1,12,0.0833,1.6,18.8,0.0851,24,6,32.8,260,-0.0008,817.124268,1.540636
7,static_routing,-1090.39,1,12,0.0833,1.6,18.8,0.0851,20,6,84.4,260,-0.001302,1240.227539,1.537565
8,static_routing,-982.21,1,12,0.0833,1.6,18.8,0.0851,32,7,7.8,260,-0.00046,825.387634,1.544739
9,static_routing,-1078.292,1,12,0.0833,2.2,18.8,0.117,16,5,-4.2,260,-0.000373,987.696533,1.542662
10,static_routing,-129.63,3,12,0.25,4.6,18.8,0.2447,18,5,80.6,260,-0.005167,186.116379,1.543535
11,static_routing,-1006.576,2,12,0.1667,2.8,18.8,0.1489,14,5,3.2,260,0.001573,1146.684448,1.531593
12,static_routing,-693.52,1,12,0.0833,1.0,18.8,0.0532,6,6,25.2,260,-0.00248,532.015869,1.540864
13,static_routing,-787.862,1,12,0.0833,1.6,18.8,0.0851,16,5,85.8,260,-0.000665,661.637878,1.531209
14,static_routing,-572.99,0,12,0.0,0.0,18.8,0.0,14,4,144.0,260,-0.001278,323.811646,1.526753
15,static_routing,-799.13,2,12,0.1667,2.8,18.8,0.1489,36,7,103.8,260,-0.001717,492.001068,1.526479
16,static_routing,-360.27,2,12,0.1667,2.8,18.8,0.1489,26,4,199.8,260,-3e-06,204.066055,1.518722
17,static_routing,-656.36,3,12,0.25,3.8,18.8,0.2021,36,7,34.6,260,-0.000292,577.652039,1.524592
18,static_routing,-575.502,2,12,0.1667,2.2,18.8,0.117,26,4,105.4,260,-0.000382,417.377655,1.514655
19,static_routing,-660.006,3,12,0.25,4.0,18.8,0.2128,20,6,24.4,260,-0.000261,544.835632,1.523801
20,static_routing,-657.03,1,12,0.0833,1.2,18.8,0.0638,34,5,46.8,260,-0.000999,329.492523,1.525223
21,static_routing,-288.87,2,12,0.1667,3.6,18.8,0.1915,8,6,54.6,260,-0.000217,400.881683,1.532818
22,static_routing,-669.382,1,12,0.0833,1.6,18.8,0.0851,20,5,41.2,260,-0.000557,379.827179,1.531446
23,static_routing,-276.14,0,12,0.0,0.0,18.8,0.0,4,6,153.2,260,-0.000966,19.834961,1.530534
24,static_routing,-660.87,0,12,0.0,0.0,18.8,0.0,12,4,66.0,260,-0.000935,329.470367,1.523936
25,static_routing,-372.84,2,12,0.1667,3.2,18.8,0.1702,28,4,116.0,260,-0.000105,157.519775,1.522211
26,static_routing,-375.23,3,12,0.25,4.4,18.8,0.234,30,5,195.4,260,-0.000835,186.618439,1.518078
27,static_routing,-631.76,2,12,0.1667,2.8,18.8,0.1489,16,7,94.0,260,-0.001458,451.704437,1.533581
28,static_routing,-498.09,0,12,0.0,0.0,18.8,0.0,18,4,157.0,260,-0.000363,124.247871,1.536598
