episode,stage,episode_reward,completed_tasks,total_tasks,completion_rate,completed_priority,total_priority,priority_completion_rate,collision_count,timeout_count,total_battery,steps,policy_loss,value_loss,entropy
1,target,27.33,1,2,0.5,1.0,2.0,0.5,0,2,86.4,80,-0.013012,65.444473,1.320282
2,target,-60.1,1,2,0.5,1.0,2.0,0.5,12,1,74.8,80,0.000414,262.768463,1.134088
3,target,20.78,1,2,0.5,1.0,2.0,0.5,2,1,78.2,80,-0.004124,139.621567,1.477852
4,target,8.4,1,2,0.5,1.0,2.0,0.5,2,2,85.0,80,-0.00262,69.102188,1.346647
5,target,44.23,1,2,0.5,1.0,2.0,0.5,0,1,114.4,80,-0.003436,156.080826,1.215014
6,target,35.08,1,2,0.5,1.0,2.0,0.5,0,2,73.8,80,-0.002054,122.298729,1.525564
7,target,8.66,1,2,0.5,1.0,2.0,0.5,2,2,64.8,80,-0.001708,86.100449,1.470396
8,target,-23.12,0,2,0.0,0.0,2.0,0.0,0,2,58.4,80,-0.00057,12.450391,1.520281
9,target,-28.36,0,2,0.0,0.0,2.0,0.0,0,2,67.2,80,-0.002004,10.834604,1.532329
10,target,22.11,1,2,0.5,1.0,2.0,0.5,0,1,93.8,80,-0.002566,89.739983,1.091006
11,target,21.45,1,2,0.5,1.0,2.0,0.5,0,1,106.0,80,-0.003869,95.401756,1.040902
12,target,18.13,1,2,0.5,1.0,2.0,0.5,0,1,94.4,80,-0.004764,91.209801,1.07362
